Species,TeMi.01f,TeMi.01n,TeMi.01e,TeMi.01s,TeMi.01w,TeMi.02f,TeMi.02n,TeMi.02e,TeMi.02s,TeMi.02w,TeMi.03f,TeMi.03n,TeMi.03e,TeMi.03s,TeMi.03w,TeMi.04f,TeMi.04n,TeMi.04e,TeMi.04s,TeMi.04w,TeMi.05f,TeMi.05n,TeMi.05e,TeMi.05s,TeMi.05w,TeMi.6f,TeMi.6n,TeMi.6e,TeMi.6s,TeMi.6w,TeMi.7f,TeMi.7n,TeMi.7e,TeMi.7s,TeMi.7w,TeMi.8f,TeMi.8n,TeMi.8e,TeMi.8s,TeMi.8w,TeMi.9f,TeMi.9n,TeMi.9e,TeMi.9s,TeMi.9w,TeMi.10f,TeMi.10n,TeMi.10e,TeMi.10s,TeMi.10w,TeMi.11f,TeMi.11n,TeMi.11e,TeMi.11s,TeMi.11w,TeMi.12f,TeMi.12n,TeMi.12e,TeMi.12s,TeMi.12w,TeMi.13f,TeMi.13n,TeMi.13e,TeMi.13s,TeMi.13w,TeMi.14f,TeMi.14n,TeMi.14e,TeMi.14s,TeMi.14w,TeMi.15f,TeMi.15n,TeMi.15e,TeMi.15s,TeMi.15w,TeMi.16f,TeMi.16n,TeMi.16e,TeMi.16s,TeMi.16w,TeMi.17f,TeMi.17n,TeMi.17e,TeMi.17s,TeMi.17w,TeMi.18f,TeMi.18n,TeMi.18e,TeMi.18s,TeMi.18w,TeMi.19f,TeMi.19n,TeMi.19e,TeMi.19s,TeMi.19w,TeMi.20f,TeMi.20n,TeMi.20e,TeMi.20s,TeMi.20w,TeMi.21f,TeMi.21n,TeMi.21e,TeMi.21s,TeMi.21w,TeMi.22f,TeMi.22n,TeMi.22e,TeMi.22s,TeMi.22w,TeMi.23f,TeMi.23n,TeMi.23e,TeMi.23s,TeMi.23w,TeMi.24f,TeMi.24n,TeMi.24e,TeMi.24s,TeMi.24w,TeMi.25f,TeMi.25n,TeMi.25e,TeMi.25s,TeMi.25w,TeMi.26f,TeMi.26n,TeMi.26e,TeMi.26s,TeMi.26w,TeMi.28f,TeMi.28n,TeMi.28e,TeMi.28s,TeMi.28w,TeMi.29f,TeMi.29n,TeMi.29e,TeMi.29s,TeMi.29w,TeMi.31f,TeMi.31n,TeMi.31e,TeMi.31s,TeMi.31w,TeMi.32f,TeMi.32n,TeMi.32e,TeMi.32s,TeMi.32w,TeMi.33f,TeMi.33n,TeMi.33e,TeMi.33s,TeMi.33w,TeMi.34f,TeMi.34n,TeMi.34e,TeMi.34s,TeMi.34w,TeMi.35f,TeMi.35n,TeMi.35e,TeMi.35s,TeMi.35w,TeMi.36f,TeMi.36n,TeMi.36e,TeMi.36s,TeMi.36w,TeMi.38f,TeMi.38n,TeMi.38e,TeMi.38s,TeMi.38w,TeMi.39f,TeMi.39n,TeMi.39e,TeMi.39s,TeMi.39w,TeMi.40f,TeMi.40n,TeMi.40e,TeMi.40s,TeMi.40w,TeMi.48f,TeMi.48n,TeMi.48e,TeMi.48s,TeMi.48w,TeMi.50f,TeMi.50n,TeMi.50e,TeMi.50s,TeMi.50w
Beach Bur,15,13,1,18,14,,,,,,4,0,0,0.5,9,2,0,11,16,0,1,26,2,8,57,0,2,0.5,0,7,28,14,45,14,17,70,1,18,26,0,26,5,31,28,31,5,10,4,35,9,3,23,1,26,15,,,,,,82,5,6,32,29,4,0,12,22,0,,,,,,0,2,6,2,0,23,0.5,0.5,1,6,,,,,,17,26,14,0,11,0,0,0,1,0,,,,,,20,0,2,6,5,26,1,10,13,33,71,77,9,9,53,44,1,3,4,7,0,2,0,0,5,1,0,13,0,0,,,,,,30,14,65,6,28,2,28,0,0,4,26,6,0,5,1,5,12,17,41,23,2,14,0.5,1,4,68,48,27,38,52,,,,,,8,0,10,91,11,2,3,29,0,0,,,,,,,,,,
American Dune Grass,0,4,20,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning glory,0,1,5,2,0.5,,,,,,10,6,4,7,23,,,,,,0,0,4,0,0,,,,,,2,1,0,2,3,3,6,2,2,2,3,6,2,2,2,7,15,14,20,7,4,6,5,3,5,30,10,13,8,1,8,13,2,9,12,17,5,3,1,7,9,0.5,2,5,4,7,2,1,4,0,1,2,2,2,2,,,,,,0,0.5,1,1,5,,,,,,0,0,0,1,0,1,2,2,0.5,0,0,1,0,1,0,1,2,0,3,0,2,2,1,2,0,3,1,3,4,3,6,3,4,1,3,2,1,1,3,0.5,2,6,1,6,2,1,14,4,5,3,31,17,13,0,15,2,0,0,0.5,3,16,13,14,8,5,7,10,5,4,5,,,,,,0,0,0,2,0,3,6,3,5,3,,,,,,,,,,
Yellow Sand Verbena,0,1,3,0,0,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,0,0,0,1,13,6,1,11,23,3,6,1,11,23,3,,,,,,,,,,,,,,,,,,,,,2,0.5,8,3,11,48,16,34,31,29,,,,,,0.5,7,2,0,1,,,,,,2,0.5,4,1,0,42,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,5,3,0,0,3,0,0,0.5,0,0,14,0,,,,,,0,1,0,11,5,0,0,1,0,0,70,76,66,56,59,,,,,,1,5,0,0,1,0,2,0,0,2,2,0.5,26,0,0,,,,,,,,,,,42,27,0,48,51,6,0,14,22,0
Ammphila arenaria,0,0,0,0,1,,,,,,,,,,,,,,,,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagewort,,,,,,,,,,,21,47,10,9,5,4,3,0,14,6,,,,,,,,,,,5,0,5,11,3,0,0,6,2,4,0,0,6,2,4,,,,,,10,0,0,0,2,0,1,0.5,0.5,0,1,0.5,0.5,0,0,28,16,1,32,0.5,2,8,13,0.5,14,4,15,1,1,10,2,0,5,6,0.5,23,26,10,8,7,0,0,0,6,0,,,,,,,,,,,5,0,0,0,0,,,,,,,,,,,4,0,0,0,0,,,,,,,,,,,30,31,11,7,24,27,63,5,0,2,8,0,8,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poa douglassii,,,,,,,,,,,0.5,0,0.5,0,6,0,1,0.5,0,0,3,5,32,0.5,14,,,,,,8,6,5,8,16,24,8,5,5,9,24,8,5,5,9,2,3,5,7,3,2,4,4,3,11,5,4,1,3,0.5,3,4,0.5,0,5,1,0.5,3,1,2,19,4,5,11,6,4,0,5,0.5,0,5,4,2,3,2,,,,,,3,0,0.5,2,0,,,,,,0,0,0,1,0,4,0,1,10,1,4,0,1,8,7,23,5,15,29,11,6,0,4,7,2,,,,,,0,0,0,1,0,,,,,,2,0,3,1,1,1,1,0,0,5,1,1,2,3,5,,,,,,21,3,9,11,7,3,6,5,3,1,,,,,,,,,,,3,7,0,0,5,,,,,,,,,,
Sea Rocket,,,,,,,,,,,,,,,,,,,,,0,5,0,0,1,,,,,,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,23,10,12,0.5,0,0,41
Beach primrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0,0,0,0,1,0.5,0,0,1,9,1,0.5,0,,,,,,,,,,,,,,,,3,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,1,0,2,0,0,0,0,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,0,0,24
Juncus acutis leopoldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,4,2,3,5,0,0,2,0.5,0,0,0,1,1,0,0,0.5,0.5,2,0,2,,,,,,,,,,,2,2,9,1,2,,,,,,2,0,3,1,1,0,0.5,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pacific gum plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysimum menziesii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
