OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
1,1,41,2.783237932405500,1,-123.782018320731609,39.512603159081401,-123.781987586999946,39.512595303000062,108.263305555614181
2,1,37,5.521030025585216,2,-123.781751949110884,39.513228368030887,-123.781690982999990,39.513212784000068,108.263474383862032
3,1,42,8.272297044333483,3,-123.782070745161363,39.512480110707671,-123.781979398999965,39.512456761000067,108.263272282233572
4,1,39,12.680134972026917,4,-123.781706301855920,39.513335506903843,-123.781566280999982,39.513299715000080,108.263503252255617
5,1,38,13.122582954214641,5,-123.781740876451067,39.513254356751467,-123.781595969999941,39.513217316000059,108.263481346149945
6,1,40,24.604228367962506,6,-123.781680866171229,39.513395206960219,-123.781409173000000,39.513325757000068,108.263519363613668
7,1,36,24.728083736203821,7,-123.781753059256246,39.513225762399522,-123.781479998999941,39.513155963000024,108.263473621941742
8,1,34,26.698273241932732,8,-123.781807615599092,39.513097712500134,-123.781512799999959,39.513022352000064,108.263439042961167
9,1,1,27.990536754781427,9,-123.782066932994283,39.512489058478309,-123.781757849999963,39.512410051000082,108.263274698541494
10,1,2,34.037616653916793,10,-123.782096438907587,39.512419803280466,-123.781720581999991,39.512323727000073,108.263256023069928
11,1,28,34.655810532111403,11,-123.781599421946737,39.513586363846443,-123.781216732999951,39.513488541000065,108.263570978324751
12,1,6,35.088730936241859,12,-123.782046226296927,39.512537660392184,-123.781658761999964,39.512438617000043,108.263287830799797
13,1,8,36.284753432756084,13,-123.781949145420128,39.512765523703443,-123.781548472999972,39.512663104000069,108.263349350662708
14,1,35,38.364894580946022,14,-123.781786744294138,39.513146699869253,-123.781363099999979,39.513038408000050,108.263452267506693
15,1,7,40.485576229495265,15,-123.781974462362300,39.512706101212380,-123.781527402999984,39.512591824000026,108.263333307306681
16,1,10,42.258015711533417,16,-123.781896382470435,39.512889365562664,-123.781429749999973,39.512770085000056,108.263382780624084
17,1,32,42.690499399218069,17,-123.781802058480153,39.513110755708801,-123.781330648999997,39.512990254000051,108.263442564594712
18,1,30,43.752470271942300,18,-123.781759332883027,39.513211037514111,-123.781276195999965,39.513087538000036,108.263469645132190
19,1,5,44.406495040484309,19,-123.782011711229458,39.512618672588893,-123.781521355999985,39.512493328000069,108.263309701087934
20,1,9,44.538610115526282,20,-123.781923204402958,39.512826410876805,-123.781431388999977,39.512700693000049,108.263365795597679
21,1,11,45.175723515189397,21,-123.781869519486790,39.512952416480537,-123.781370667999965,39.512824900000055,108.263399807247907
22,1,27,45.679195836701183,22,-123.781635539594149,39.513501592631343,-123.781131124999945,39.513372654000072,108.263548085139448
23,1,3,46.899693460618309,23,-123.782100482745420,39.512410311721212,-123.781582597999929,39.512277930000039,108.263253461888354
24,1,33,47.613582104345227,24,-123.781793635607571,39.513130525166829,-123.781267862999982,39.512996127000058,108.263447901531407
25,1,26,48.368101707743556,25,-123.781581772762735,39.513627787915176,-123.781047664999960,39.513491259000041,108.263582154315799
26,1,12,50.352816678819067,26,-123.781864293343673,39.512964682904361,-123.781308273999969,39.512822553000035,108.263403123533081
27,1,31,50.538700784534612,27,-123.781764100636039,39.513199847074070,-123.781206026999953,39.513057192000069,108.263466625832919
28,1,15,50.710768582636717,28,-123.781939803739334,39.512787449939843,-123.781379832999960,39.512644310000034,108.263355275817602
29,1,16,52.833874432731662,29,-123.781955420689883,39.512750794756130,-123.781372005999970,39.512601662000058,108.263345376469076
30,1,24,53.126662269324456,30,-123.781640009324931,39.513491101774754,-123.781053355999973,39.513341141000069,108.263545254662191
31,1,4,53.331199297409221,31,-123.782071037313585,39.512479424979240,-123.781482132999955,39.512328889000052,108.263272101376756
32,1,29,53.532873023015789,32,-123.781708520698984,39.513330299055603,-123.781117382999980,39.513179192000045,108.263501841678561
33,1,13,56.677969922200901,33,-123.781882233146035,39.512922575883103,-123.781256368999948,39.512762592000058,108.263391750740425
34,1,23,58.053260095855407,34,-123.781643180292690,39.513483659228839,-123.781002125000001,39.513319792000054,108.263543244377587
35,1,25,61.372011376710660,35,-123.781607067370786,39.513568419398851,-123.780929363999974,39.513395184000039,108.263566131890073
36,1,19,64.287094432696335,36,-123.781851425027199,39.512994886463545,-123.781141536999925,39.512813424000051,108.263411275093915
37,1,14,65.971008115760938,37,-123.781901303446432,39.512877815378623,-123.781172821999974,39.512691600000032,108.263379663273938
38,1,22,66.484600579906129,38,-123.781632389671998,39.513508985777364,-123.780898230999966,39.513321319000056,108.263550082089907
39,1,18,68.519415138366739,39,-123.782107119349348,39.512394734503296,-123.781350501999952,39.512201327000071,108.263249289657523
40,1,20,69.778824206949736,40,-123.781819947820566,39.513068767314373,-123.781049416999963,39.512871803000060,108.263431224887242
41,1,17,71.548509962306653,41,-123.781928864890602,39.512813124935079,-123.781138794999947,39.512611166000056,108.263362205366775
42,1,21,75.123101774954833,42,-123.781608164955230,39.513565843275906,-123.780778614999974,39.513353792000039,108.263565436978865
43,1,43,83.059916307114094,43,-123.781897272526010,39.512887276484363,-123.782814462999980,39.513121722000044,-71.736617780286991
44,2,18,4.167490579068058,1,-123.781365579519417,39.512165653650698,-123.781350501999952,39.512201327000071,18.127500070723347
45,2,3,6.040091418758876,2,-123.781604450229537,39.512226227310236,-123.781582597999929,39.512277930000039,18.127348697573847
46,2,2,7.180370178152834,3,-123.781746564714396,39.512262264910021,-123.781720581999991,39.512323727000073,18.131027077740729
47,2,4,14.105131321064631,4,-123.781533159891211,39.512208149322284,-123.781482132999955,39.512328889000052,18.126027822788046
48,2,42,14.292429549471072,5,-123.782031106454184,39.512334418789870,-123.781979398999965,39.512456761000067,18.127078307712807
49,2,1,15.291672645048504,6,-123.781813172907320,39.512279155440979,-123.781757849999963,39.512410051000082,18.127216424653021
50,2,6,20.957057998194966,7,-123.781734581627902,39.512259226229460,-123.781658761999964,39.512438617000043,18.127266216408859
51,2,41,28.691600935617682,8,-123.782091388076097,39.512349704849832,-123.781987586999946,39.512595303000062,18.127040123495412
52,2,5,30.406394577807148,9,-123.781631362441345,39.512233051764582,-123.781521355999985,39.512493328000069,18.127331629170151
53,2,7,40.637379869908372,10,-123.781674423829514,39.512243971344773,-123.781527402999984,39.512591824000026,18.127304336514324
54,2,16,45.833340555446469,11,-123.781537825937647,39.512209332552004,-123.781372005999970,39.512601662000058,18.127390903211680
55,2,8,47.594711864903800,12,-123.781720664471521,39.512255697104074,-123.781548472999972,39.512663104000069,18.127275036361670
56,2,15,50.123907108714576,13,-123.781561175698897,39.512215253649408,-123.781379832999960,39.512644310000034,18.127376106284654
57,2,17,53.076142450397214,14,-123.781330819959777,39.512156839151992,-123.781138794999947,39.512611166000056,18.127522074786736
58,2,9,54.693676276333171,15,-123.781629264318227,39.512232519718452,-123.781431388999977,39.512700693000049,18.127332954893784
59,2,14,60.652648506284706,16,-123.781392257910710,39.512172418878784,-123.781172821999974,39.512691600000032,18.127483155962810
60,2,10,62.059408951901993,17,-123.781654273710458,39.512238861645649,-123.781429749999973,39.512770085000056,18.127317105900932
61,2,13,65.907891429775646,18,-123.781494817330582,39.512198426294944,-123.781256368999948,39.512762592000058,18.127418157351133
62,2,11,69.424034462247675,19,-123.781621836539927,39.512230636167658,-123.781370667999965,39.512824900000055,18.127337651681341
63,2,12,70.845848095884563,20,-123.781564586992985,39.512216118694376,-123.781308273999969,39.512822553000035,18.127373945625951
64,2,19,74.343951906525660,21,-123.781410507137835,39.512177046596705,-123.781141536999925,39.512813424000051,18.127471595163492
65,2,20,82.968634837340190,22,-123.781349591380831,39.512161599302090,-123.781049416999963,39.512871803000060,18.127510179909113
66,2,34,86.455168905499818,23,-123.781825584048534,39.512282302657781,-123.781512799999959,39.513022352000064,18.127208557849009
67,2,32,87.942087645965657,24,-123.781648814289156,39.512237477236226,-123.781330648999997,39.512990254000051,18.127320567772458
68,2,33,90.241718899858569,25,-123.781594348743070,39.512223665752465,-123.781267862999982,39.512996127000058,18.127355079904266
69,2,35,92.154764308138255,26,-123.781696506006327,39.512249570973310,-123.781363099999979,39.513038408000050,18.127290344436645
70,2,31,98.339499387666621,27,-123.781561810426226,39.512215414605251,-123.781206026999953,39.513057192000069,18.127375705049776
71,2,30,99.663958090928745,28,-123.781636770441779,39.512234423135624,-123.781276195999965,39.513087538000036,18.127328195071282
72,2,36,101.430740520195897,29,-123.781846963241932,39.512287723989239,-123.781479998999941,39.513155963000024,18.127195008510196
73,2,37,101.781040605741822,30,-123.782059212245045,39.512341545789361,-123.781690982999990,39.513212784000068,18.127060501618534
74,2,43,103.597861404778214,31,-123.782122899654979,39.512357695460594,-123.782814462999980,39.513121722000044,-35.034608767831621
75,2,38,104.801426432824897,32,-123.781975127670648,39.512320223798802,-123.781595969999941,39.513217316000059,18.127113789511085
76,2,29,113.584109346328347,33,-123.781528321231775,39.512206922320630,-123.781117382999980,39.513179192000045,18.127396926023327
77,2,39,114.290108466879687,34,-123.781979767888345,39.512321400457417,-123.781566280999982,39.513299715000080,18.127110849765007
78,2,40,121.241562980916427,35,-123.781847811474549,39.512287939083798,-123.781409173000000,39.513325757000068,18.127194474334818
79,2,23,131.503395009723562,36,-123.781477895545109,39.512194135210386,-123.781002125000001,39.513319792000054,18.127428884256442
80,2,24,132.385249765061900,37,-123.781532316302886,39.512207935402678,-123.781053355999973,39.513341141000069,18.127394393546176
81,2,27,133.629489681799527,38,-123.781614585748002,39.512228797496874,-123.781131124999945,39.513372654000072,18.127342259130298
82,2,22,134.444391686611311,39,-123.781384643418562,39.512170487961903,-123.780898230999966,39.513321319000056,18.127487973550988
83,2,21,141.071323106333296,40,-123.781289005176689,39.512146235538623,-123.780778614999974,39.513353792000039,18.127548500507320
84,2,25,141.405202349215983,41,-123.781440959817388,39.512184768911155,-123.780929363999974,39.513395184000039,18.127452288425520
85,2,28,143.566686619710310,42,-123.781736144457312,39.512259622533072,-123.781216732999951,39.513488541000065,18.127265227042724
86,2,26,148.377163357001024,43,-123.781584483104311,39.512221164000444,-123.781047664999960,39.513491259000041,18.127361338806033
