Species,Zmud.01f,Zmud.01n,Zmud.01e,Zmud.01s,Zmud.01w,Zmud.02f,Zmud.02n,Zmud.02e,Zmud.02s,Zmud.02w,Zmud.03f,Zmud.03n,Zmud.03e,Zmud.03s,Zmud.03w,Zmud.04f,Zmud.04n,Zmud.04e,Zmud.04s,Zmud.04w,Zmud.5f,Zmud.5n,Zmud.5e,Zmud.5s,Zmud.5w,Zmud.6f,Zmud.6n,Zmud.6e,Zmud.6s,Zmud.6w,Zmud.7f,Zmud.7n,Zmud.7e,Zmud.7s,Zmud.7w,Zmud.8f,Zmud.8n,Zmud.8e,Zmud.8s,Zmud.8w,Zmud.9f,Zmud.9n,Zmud.9e,Zmud.9s,Zmud.9w,Zmud.10f,Zmud.10n,Zmud.10e,Zmud.10s,Zmud.10w,Zmud.11f,Zmud.11n,Zmud.11e,Zmud.11s,Zmud.11w,Zmud.12f,Zmud.12n,Zmud.12e,Zmud.12s,Zmud.12w,Zmud.13f,Zmud.13n,Zmud.13e,Zmud.13s,Zmud.13w,Zmud.14f,Zmud.14n,Zmud.14e,Zmud.14s,Zmud.14w,Zmud.15f,Zmud.15n,Zmud.15e,Zmud.15s,Zmud.15w,Zmud.16f,Zmud.16n,Zmud.16e,Zmud.16s,Zmud.16w,Zmud.18f,Zmud.18n,Zmud.18e,Zmud.18s,Zmud.18w,Zmud.19f,Zmud.19n,Zmud.19e,Zmud.19s,Zmud.19w,Zmud.20f,Zmud.20n,Zmud.20e,Zmud.20s,Zmud.20w,Zmud.21f,Zmud.21n,Zmud.21e,Zmud.21s,Zmud.21w,Zmud.22f,Zmud.22n,Zmud.22e,Zmud.22s,Zmud.22w,Zmud.23f,Zmud.23n,Zmud.23e,Zmud.23s,Zmud.23w,Zmud.24f,Zmud.24n,Zmud.24e,Zmud.24s,Zmud.24w,Zmud.25f,Zmud.25n,Zmud.25e,Zmud.25s,Zmud.25w,Zmud.26f,Zmud.26n,Zmud.26e,Zmud.26s,Zmud.26w,Zmud.27f,Zmud.27n,Zmud.27e,Zmud.27s,Zmud.27w,Zmud.28f,Zmud.28n,Zmud.28e,Zmud.28s,Zmud.28w,Zmud.29f,Zmud.29n,Zmud.29e,Zmud.29s,Zmud.29w,Zmud.30f,Zmud.30n,Zmud.30e,Zmud.30s,Zmud.30w,Zmud.31f,Zmud.31n,Zmud.31e,Zmud.31s,Zmud.31w,Zmud.32f,Zmud.32n,Zmud.32e,Zmud.32s,Zmud.32w,Zmud.33f,Zmud.33n,Zmud.33e,Zmud.33s,Zmud.33w,Zmud.34f,Zmud.34n,Zmud.34e,Zmud.34s,Zmud.34w,Zmud.35f,Zmud.35n,Zmud.35e,Zmud.35s,Zmud.35w,Zmud.36f,Zmud.36n,Zmud.36e,Zmud.36s,Zmud.36w,Zmud.37f,Zmud.37n,Zmud.37e,Zmud.37s,Zmud.37w,Zmud.38f,Zmud.38n,Zmud.38e,Zmud.38s,Zmud.38w,Zmud.39f,Zmud.39n,Zmud.39e,Zmud.39s,Zmud.39w,Zmud.40f,Zmud.40n,Zmud.40e,Zmud.40s,Zmud.40w,Zmud.41f,Zmud.41n,Zmud.41e,Zmud.41s,Zmud.41w,Zmud.42f,Zmud.42n,Zmud.42e,Zmud.42s,Zmud.42w,Zmud.43f,Zmud.43n,Zmud.43e,Zmud.43s,Zmud.43w,Zmud.44f,Zmud.44n,Zmud.44e,Zmud.44s,Zmud.44w
Carpobrotus edulis,,,,,,,,,,,0,6,0,0,2,96,84,85,48,92,0,0,1,11,0,,,,,,43,20,19,12,33,,,,,,,,,,,2,2,6,4,10,0,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.5,0,,,,,,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,6,17,9,,,,,,22,10,9,33,30,63,70,38,44,49,0,0,2,5,2,38,12,24,81,42,0,0,1,0,0,,,,,,,,,,,0.5,0,0,0,0,90,46,70,93,54,70,67,85,88,13,41,26,82,72,17,,,,,,,,,,,7,13,0,15,11
Yellow Sand Verbena,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.5,4,0,4,8,,,,,,1,0,0,0,0,7,1,10,5,15,1,0,0,0,6,6,10,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,5,0,13
Beach primrose,,,,,,3,1,0.5,3,0,,,,,,,,,,,0.5,0.5,0,0.5,0.5,,,,,,,,,,,,,,,,0.5,1,0,0,1,0,2,2,0,0,1,0,0.5,1,1,8,12,2,0.5,0,,,,,,,,,,,0,0,0,1,0,,,,,,0,0,1,0,0,0.5,0,0,0,0,7,6,0.5,10,8,3,0,0,1,7,,,,,,0.5,0,0,1,0,0.5,1,0,1,2,,,,,,,,,,,0,0.5,0,1,0,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,4
Monterey Spine Flower,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.5,,,,,,,,,,,,,,,,2,10,7,5,7,0,1,1,2,0,4,0,2,4,1,,,,,,3,0,6,15,0,2,1,0.5,1,2,0,0,1,0,0,,,,,,2,5,0,0,0,2,4,0,0,1,2,2,1,2,5,,,,,,0,0,1,1,0,12,8,3,6,6,3,5,4,2,5,0,0.5,2,0,0,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,0,1,0,2,2,0,0,2,3,0,,,,,,,,,,,0,0,1,0,0.5,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0.5,1,0,3,3,0,0,5,,,,,,,,,,,,,,,,,,,,,0,1,0,0,6
Sea Rocket,24,14,10,7,31,0,1,0,0.5,0,23,7,22,22,27,,,,,,,,,,,10,24,9,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,18,15,11,,,,,
Morning glory,,,,,,2,2,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,11,1,0,,,,,,,,,,
Sagewort,,,,,,,,,,,0,0,7,0,0,5,10,16,22,13,6,15,29,4,4,,,,,,4,7,0,3,3,,,,,,25,11,20,10,23,4,8,17,1,1,35,71,0,21,41,0,3,2,1,12,0,0.5,0,5,1,21,9,0,15,14,20,0,11,10,4,0,2,0,2,1,0,3,2,0,1,5,2,13,10,0,3,9,3,2,9,27,2,0,4,26,27,5,35,35,4,23,9,10,12,10,15,15,12,16,12,4,5,21,0,8,0,0,0,0,4,0,2,4,0,8,11,5,0,0,0,0,14,5,26,17,,,,,,,,,,,0,0,0,0,5,,,,,,,,,,,2,30,21,0,0,,,,,,2,22,0,2,7,27,26,14,21,32,,,,,,,,,,,5,31,8,0,0,,,,,,,,,,,,,,,
CA Goldenbush,,,,,,,,,,,,,,,,0,0,0,11,0,8,0,4,10,37,,,,,,0,0,1,1,0,85,18,83,52,66,0,0,0,8,5,0.5,0,0,0,0,12,0,14,0,0,1,9,40,5,1,57,90,31,28,83,1,20,22,10,0,57,26,9,28,20,72,31,73,60,20,35,26,36,50,70,8,4,86,1,0,2,0,0,0,0,81,20,88,67,10,47,18,0.5,1,40,0,2,0,0,13,4,0,1,0,0,7,4,52,39,79,68,86,30,26,23,80,72,57,3,15,17,71,9,18,14,21,36,14,16,11,81,88,90,80,57,0,0,27,0,0,,,,,,72,23,15,82,93,30,7,65,31,24,3,2,0.5,52,18,48,70,44,55,2,87,18,63,95,63,,,,,,,,,,,29,9,2,12,28,0,0,1,0,0,,,,,,,,,,,,,,,
Foxglove (Monterey Paintbrush),,,,,,,,,,,,,,,,,,,,,5,9,6,5,10,,,,,,0,0.5,13,0,0,,,,,,4,1,3,0,3,,,,,,22,71,13,1,33,0,0,4,4,8,0,0,13,2,0,,,,,,17,30,0,0,3,15,14,6,3,0,1,5,0,3,2,0,0,11,17,0,0,0.5,14,0,0,,,,,,,,,,,,,,,,8,0,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branching Phacelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Batting Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,22,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Bush Lupine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,70,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Sand Verbena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus Littoralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,8,0,0,,,,,,,,,,
